CustomerID,FirstName,LastName,DateOfBirth,Gender,Email,Phone,City,State,Country,JoinDate,LastPurchaseDate,TotalPurchases,TotalSpent,CustomerSegment,IsActive
N0001,Ishwar,Thakur,11/13/1975,Female,ishwar.thakur@gmail.com,9634702726,Chennai,Tamil Nadu,India,11/19/2023,9/11/2025,12,5597.04,Regular,0
N0002,Darsh,Walla,7/1/1961,Female,darsh.walla@gmail.com,6164571433,Bangalore,Karnataka,India,7/2/2021,3/18/2026,22,94223.97,VIP,0
N0003,Rachana,Om,9/11/1975,Female,rachana.om@gmail.com,8942628945,Pune,Maharashtra,India,8/29/2022,6/14/2026,6,90972.18,VIP,1
N0004,Aarnav,Kala,11/17/1973,Male,aarnav.kala@gmail.com,8265046871,Madurai,Tamil Nadu,India,9/22/2021,3/26/2026,2,2704.3,New,1
N0005,Andrew,Pradhan,1/22/1978,Female,andrew.pradhan@gmail.com,7019856032,Mumbai,Maharashtra,India,9/1/2024,7/19/2025,17,44426.74,VIP,1
N0006,Yahvi,Ram,11/11/1972,Female,yahvi.ram@gmail.com,6837384462,Delhi,Delhi,India,10/28/2022,4/16/2026,22,43492.92,VIP,0
N0007,Charles,Anne,8/10/1962,Female,charles.anne@gmail.com,7583273124,Kolkata,West Bengal,India,1/21/2024,2/21/2026,12,2459.46,New,0
N0008,Devika,Lad,7/25/1971,Male,devika.lad@gmail.com,9284777776,Pune,Maharashtra,India,8/5/2023,2/18/2026,47,77937.36,VIP,1
N0009,Vrinda,Gulati,2/10/1974,Female,vrinda.gulati@gmail.com,9670700223,Mumbai,Maharashtra,India,1/7/2022,10/1/2025,22,115799.03,VIP,1
N0010,Yagnesh,Kakar,12/31/1991,Male,yagnesh.kakar@gmail.com,7523157211,Pune,Maharashtra,India,5/5/2022,4/25/2026,36,95280.66,VIP,0
N0011,Dipta,Murthy,7/22/1973,Male,dipta.murthy@gmail.com,7558575746,Hyderabad,Telangana,India,5/9/2024,8/2/2025,38,38765.63,Premium,1
N0012,Yug,Wadhwa,8/24/1961,Female,yug.wadhwa@gmail.com,9426004704,Madurai,Tamil Nadu,India,1/14/2022,12/17/2025,8,91643.83,VIP,1
N0013,Chanchal,Thakkar,7/28/1965,Female,chanchal.thakkar@gmail.com,7894130186,Delhi,Delhi,India,3/10/2024,1/5/2026,11,62574.97,VIP,0
N0014,Jagvi,Tara,5/2/1996,Male,jagvi.tara@gmail.com,7726189075,Bangalore,Karnataka,India,11/30/2024,8/20/2025,42,4209.67,Regular,0
N0015,Bishakha,Divan,6/30/1997,Male,bishakha.divan@gmail.com,7162093985,Delhi,Delhi,India,6/17/2021,8/13/2025,22,46525.08,VIP,1
N0016,Faraj,Pal,6/3/1977,Male,faraj.pal@gmail.com,9178428731,Pune,Maharashtra,India,11/22/2024,11/21/2025,23,113009.4,VIP,0
N0017,Abeer,Mannan,6/4/2000,Male,abeer.mannan@gmail.com,8213649455,Madurai,Tamil Nadu,India,1/20/2025,5/6/2026,37,20908.91,Premium,0
N0018,Odika,Deshmukh,7/27/1980,Female,odika.deshmukh@gmail.com,7446204533,Mumbai,Maharashtra,India,1/1/2024,2/23/2026,29,118765.18,VIP,0
N0019,Dipta,Mane,8/10/1963,Male,dipta.mane@gmail.com,9081930449,Kolkata,West Bengal,India,11/25/2021,6/21/2025,19,89501.45,VIP,0
N0020,Xalak,Dayal,1/30/1970,Male,xalak.dayal@gmail.com,7637530550,Kolkata,West Bengal,India,8/6/2021,9/16/2025,8,109971.53,VIP,1
N0021,Widisha,Mital,10/19/1991,Male,widisha.mital@gmail.com,7631300734,Kolkata,West Bengal,India,11/7/2021,5/2/2026,33,38141.6,Premium,0
N0022,Lipika,Kohli,7/31/1971,Female,lipika.kohli@gmail.com,6140180220,Coimbatore,Tamil Nadu,India,8/17/2021,11/21/2025,2,115689.07,VIP,0
N0023,Radhika,Agate,12/31/1965,Male,radhika.agate@gmail.com,7048413700,Delhi,Delhi,India,2/28/2024,9/10/2025,46,30812.37,Premium,1
N0024,Yuvraj,Lall,2/13/1980,Male,yuvraj.lall@gmail.com,6739039551,Mumbai,Maharashtra,India,8/28/2022,12/4/2025,19,81432.74,VIP,0
N0025,Manya,Bhakta,8/28/1987,Female,manya.bhakta@gmail.com,7414854052,Bangalore,Karnataka,India,4/29/2025,7/24/2025,16,73147.38,VIP,0
N0026,Hitesh,Prakash,9/20/1968,Male,hitesh.prakash@gmail.com,6797264639,Mumbai,Maharashtra,India,11/4/2023,11/21/2025,28,115857.68,VIP,0
N0027,Daksh,Viswanathan,2/23/1962,Male,daksh.viswanathan@gmail.com,9355534988,Madurai,Tamil Nadu,India,2/22/2024,1/12/2026,32,93934.05,VIP,1
N0028,Manan,Sarkar,9/19/1975,Male,manan.sarkar@gmail.com,9652609811,Kolkata,West Bengal,India,10/5/2024,5/6/2026,9,114825.84,VIP,0
