"CustomerId";"FirstName";"LastName";"DateOfBIrth";"Gender";"Email";"Phone";"City";"State";"Country";"JoinDate";"LastPurchaseDate";"TotalPurchases";"TotalSpent";"CustomerSegment";"IsActive";"customer_age";"Avg_Spent"
"N0001";"ishwar";"thakur";"1975-11-13";"Female";"ishwar.thakur@gmail.com";"9634702726";"Chennai";"Tamil Nadu";"India";"2023-11-19";"2025-09-11";12;5597.04;"Regular";"0";50;466.42
"N0002";"darsh";"walla";"1961-07-01";"Female";"darsh.walla@gmail.com";"6164571433";"Bangalore";"Karnataka";"India";"2021-07-02";"2026-03-18";22;94223.97;"VIP";"0";64;4282.91
"N0003";"rachana";"om";"1975-09-11";"Female";"rachana.om@gmail.com";"8942628945";"Pune";"Maharashtra";"India";"2022-08-29";"2026-06-14";6;90972.18;"VIP";"1";50;15162.03
"N0004";"aarnav";"kala";"1973-11-17";"Male";"aarnav.kala@gmail.com";"8265046871";"Madurai";"Tamil Nadu";"India";"2021-09-22";"2026-03-26";2;2704.3;"New";"1";52;1352.15
"N0005";"andrew";"pradhan";"1978-01-22";"Female";"andrew.pradhan@gmail.com";"7019856032";"Mumbai";"Maharashtra";"India";"2024-09-01";"2025-07-19";17;44426.74;"VIP";"1";48;2613.34
"N0006";"yahvi";"ram";"1972-11-11";"Female";"yahvi.ram@gmail.com";"6837384462";"Delhi";"Delhi";"India";"2022-10-28";"2026-04-16";22;43492.92;"VIP";"0";53;1976.95
"N0007";"charles";"anne";"1962-08-10";"Female";"charles.anne@gmail.com";"7583273124";"Kolkata";"West Bengal";"India";"2024-01-21";"2026-02-21";12;2459.46;"New";"0";63;204.96
"N0008";"devika";"lad";"1971-07-25";"Male";"devika.lad@gmail.com";"9284777776";"Pune";"Maharashtra";"India";"2023-08-05";"2026-02-18";47;77937.36;"VIP";"1";54;1658.24
"N0009";"vrinda";"gulati";"1974-02-10";"Female";"vrinda.gulati@gmail.com";"9670700223";"Mumbai";"Maharashtra";"India";"2022-01-07";"2025-10-01";22;115799.03;"VIP";"1";52;5263.59
"N0010";"yagnesh";"kakar";"1991-12-31";"Male";"yagnesh.kakar@gmail.com";"7523157211";"Pune";"Maharashtra";"India";"2022-05-05";"2026-04-25";36;95280.66;"VIP";"0";34;2646.69
"N0011";"dipta";"murthy";"1973-07-22";"Male";"dipta.murthy@gmail.com";"7558575746";"Hyderabad";"Telangana";"India";"2024-05-09";"2025-08-02";38;38765.63;"Premium";"1";52;1020.15
"N0012";"yug";"wadhwa";"1961-08-24";"Female";"yug.wadhwa@gmail.com";"9426004704";"Madurai";"Tamil Nadu";"India";"2022-01-14";"2025-12-17";8;91643.83;"VIP";"1";64;11455.48
"N0013";"chanchal";"thakkar";"1965-07-28";"Female";"chanchal.thakkar@gmail.com";"7894130186";"Delhi";"Delhi";"India";"2024-03-10";"2026-01-05";11;62574.97;"VIP";"0";60;5688.63
"N0014";"jagvi";"tara";"1996-05-02";"Male";"jagvi.tara@gmail.com";"7726189075";"Bangalore";"Karnataka";"India";"2024-11-30";"2025-08-20";42;4209.67;"Regular";"0";30;100.23
"N0015";"bishakha";"divan";"1997-06-30";"Male";"bishakha.divan@gmail.com";"7162093985";"Delhi";"Delhi";"India";"2021-06-17";"2025-08-13";22;46525.08;"VIP";"1";28;2114.78
"N0016";"faraj";"pal";"1977-06-03";"Male";"faraj.pal@gmail.com";"9178428731";"Pune";"Maharashtra";"India";"2024-11-22";"2025-11-21";23;113009.4;"VIP";"0";49;4913.45
